Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
43,Chris Morris,2018,DC,14.937376400791036,12.0368469836615,9.781779484346693,5.155596916444344,52.706124940708335,-0.4148123782903576,12.451659361951856,81.15183246073298
44,Jasprit Bumrah,2022,MI,13.219251336898397,8.248668094860463,8.154660725492638,5.064590611405759,62.10669924713266,26.627655634945206,-18.378987540084744,39.52879581151832
45,Ajinkya Rahane,2014,RR,12.03271028037383,5.0627675840978625,6.997710183768317,5.035000096605514,71.95210953841091,10.040401785714296,-4.977634201616434,54.45026178010471
46,Avesh Khan,2022,LSG,11.016042780748663,9.50807955135956,6.104552299194327,4.911490481554336,80.45619466971475,-0.1327713815789479,9.640850932938507,83.24607329842931
47,David Hussey,2011,KKR,11.079681274900397,2.600110035211266,6.217145804095866,4.862535470804531,78.21170073896424,10.740062617289244,-8.139952582077978,48.952879581151834
48,David Miller,2014,PBK,20.054517133956384,21.792650993883793,15.627864151667374,4.42665298228901,28.32538688158944,7.405307539682546,14.387343454201247,77.4869109947644
49,James Faulkner,2014,RR,15.241433021806852,14.235252734650654,10.871040993239042,4.37039202856781,40.202148361742545,0.0491940041883882,14.186058730462266,80.6282722513089
50,Sreesanth,2011,KTK,8.309760956175298,0.915933098591545,4.040573918629943,4.269187037545355,105.6579368059904,1.8144171959538913,-0.8984840973623462,65.18324607329842
51,Krunal Pandya,2022,LSG,9.088235294117647,5.425256650059467,5.017603132944043,4.070632161173604,81.12702526126633,11.560361842105266,-6.135105192045799,53.403141361256544
52,MS Dhoni,2014,CSK,20.054517133956384,22.308696483180427,16.0200198640279,4.034497269928483,25.184096550265405,4.525967261904761,17.782729221275666,78.01047120418848
53,AB de Villiers,2011,DC,9.233067729083665,-0.2927376760563387,5.410700045757611,3.8223676833260534,70.6446051527671,13.876162790697672,-14.16890046675401,42.14659685863874
54,Kagiso Rabada,2022,PBK,10.189839572192513,3.8524267083529233,6.60254329121987,3.5872962809726427,54.332037258173926,-0.6813621411483233,4.533788849501247,73.03664921465969
55,Parthiv Patel,2012,DCH,6.086363636363636,4.201309173886138,2.5542638145782672,3.5320998217853687,138.28249852760615,5.81860665137615,-1.6172974774900126,66.49214659685863
56,Nitish Rana,2022,KKR,8.81283422459893,6.977808204797943,5.406032648217085,3.406801576381845,63.01851649944089,11.832532147129188,-4.854723942331245,53.66492146596859
57,Suresh Raina,2018,CSK,14.937376400791036,15.808344155844155,11.724164414736585,3.2132119860544517,27.406746207138085,3.92740364671688,11.880940509127274,74.3455497382199
58,Ravichandran Ashwin,2014,CSK,12.03271028037383,10.093676487885194,8.91021480651586,3.1224954738579704,35.04399772241801,17.610749461578738,-7.517072973693544,42.40837696335078
59,Thisara Perera,2012,MI,6.086363636363636,0.1983372618254297,2.99084561137012,3.095518024993516,103.49975984134616,11.487966801928948,-11.289629540103519,47.12041884816754
60,Ravindra Jadeja,2018,CSK,9.50560316413975,3.4498296327328557,6.476108045125284,3.0294951190144657,46.779564175042395,20.32219970078425,-16.872370068051396,36.64921465968587
61,Devdutt Padikkal,2022,RR,8.537433155080214,7.690988372093024,5.594403992237809,2.9430291628424046,52.60666135169777,4.4609375,3.230050872093024,70.68062827225131
