,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
26,Yudhvir Singh,Bowler , India,SOLD,20,20,MI,6,4,0,189,10,63.00,14,44.0,0,0,2,2,4,0,132,3,2/37,2/37,8.59,0,0
27,Chaitanya Bishnoi,Batting Allrounder , India,UNSOLD,20,-,-,37,36,6,53,65*,26.50,692,21.0,0,5,80,21,17,0,42,2,1/8,1/8,7.57,0,0
28,George Linde,Batting Allrounder , South Africa,UNSOLD,50,-,-,89,66,21,2141,52*,23.27,594,19.1,0,2,46,37,22,0,1759,92,4/19,4/19,7.30,3,0
29,Isuru Udana,Bowling Allrounder , Sri Lanka,UNSOLD,50,-,-,159,100,35,4125,84*,25.00,793,18.6,0,1,58,55,59,0,3070,165,4/31,4/31,8.06,2,0
30,Chris Green,Bowling Allrounder , Australia,UNSOLD,30,-,-,108,66,23,2383,49,27.39,461,23.8,0,0,41,15,59,0,2078,87,4/14,4/14,6.88,2,0
31,Reece Topley,Bowler , England,UNSOLD,50,-,-,85,15,10,2423,5*,20.88,39,15.3,0,0,2,0,19,0,1779,116,4/20,4/20,8.17,4,0
32,Wayne Parnell,Bowling Allrounder , South Africa,UNSOLD,50,-,-,207,121,46,5317,99,25.44,1181,19.4,0,4,121,51,36,0,4072,209,4/13,4/13,7.83,4,0
33,James Neesham,Batting Allrounder , New Zealand,SOLD,50,50,MI,143,111,33,3359,59*,25.44,1442,16.6,0,4,144,92,47,0,2204,132,4/24,4/24,9.14,2,0
34,Scott Kuggeleijn,Batting Allrounder , New Zealand,UNSOLD,50,-,-,120,76,35,3384,41,28.67,554,19.8,0,0,44,31,48,0,2340,118,4/18,4/18,8.67,2,0
35,Kuldip Yadav,Bowler , India,SOLD,20,20,RR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
